Designator,Mid X,Mid Y,Layer,Rotation
"C15","5.155mm","-15.2505mm","Top",90
"C16","10.1521mm","-9.0155mm","Top",90
"IC1","31.5352mm","-13.2346mm","Top",270
"J1","-40.9118mm","-14.8783mm","Top",180
"J2","32.4602mm","-21.8821mm","Top",0
"LED1","15.2857mm","22.5331mm","Top",315
"LED2","18.5921mm","22.5331mm","Top",315
"LED3","21.8984mm","22.5331mm","Top",315
"LED4","25.2048mm","22.5331mm","Top",315
"LED5","28.5111mm","22.5331mm","Top",315
"LED6","31.8175mm","22.5331mm","Top",315
"LED7","35.1238mm","22.5331mm","Top",315
"LED8","38.4302mm","22.5331mm","Top",315
"LED9","8.0547mm","-9.7788mm","Top",180
"LED10","15.2857mm","19.0305mm","Top",315
"LED11","18.5921mm","19.0305mm","Top",315
"LED12","21.8984mm","19.0305mm","Top",315
"LED13","25.2048mm","19.0305mm","Top",315
"LED14","28.5111mm","19.0305mm","Top",315
"LED15","31.8175mm","19.0305mm","Top",315
"LED16","35.1238mm","19.0305mm","Top",315
"LED17","38.4302mm","19.0305mm","Top",315
"LED18","15.2857mm","15.691mm","Top",315
"LED19","18.5921mm","15.691mm","Top",315
"LED20","21.8984mm","15.691mm","Top",315
"LED21","25.2048mm","15.691mm","Top",315
"LED22","28.5111mm","15.691mm","Top",315
"LED23","31.8175mm","15.691mm","Top",315
"LED24","35.1238mm","15.691mm","Top",315
"LED25","38.4302mm","15.691mm","Top",315
"LED26","15.2858mm","12.3706mm","Top",315
"LED27","18.5922mm","12.3706mm","Top",315
"LED28","21.8984mm","12.3706mm","Top",315
"LED29","25.205mm","12.3706mm","Top",315
"LED30","28.5111mm","12.3706mm","Top",315
"LED31","31.8175mm","12.3706mm","Top",315
"LED32","35.1238mm","12.3706mm","Top",315
"LED33","38.4304mm","12.3706mm","Top",315
"LED34","15.2858mm","9.0379mm","Top",315
"LED35","18.5922mm","9.0379mm","Top",315
"LED36","21.8984mm","9.0379mm","Top",315
"LED37","25.205mm","9.0379mm","Top",315
"LED38","28.5111mm","9.0379mm","Top",315
"LED39","31.8175mm","9.0379mm","Top",315
"LED40","35.1238mm","9.0379mm","Top",315
"LED41","38.4302mm","9.0379mm","Top",315
"LED42","15.2858mm","5.67mm","Top",315
"LED43","18.5921mm","5.67mm","Top",315
"LED44","21.8984mm","5.67mm","Top",315
"LED45","25.205mm","5.67mm","Top",315
"LED46","28.5111mm","5.67mm","Top",315
"LED47","31.8175mm","5.67mm","Top",315
"LED48","35.1238mm","5.67mm","Top",315
"LED49","38.4302mm","5.67mm","Top",315
"R5","8.0361mm","-8.2735mm","Top",0
"U1","9.6859mm","-15.2734mm","Top",0
"U2","31.2902mm","-16.5096mm","Bottom",0
"U3","20.0052mm","-21.9096mm","Top",90
